Name,Price,PriceScore,Processor Type,ProcessorScore,RAM,RAMScore,Hard Disk,StorageScore,Graphics Card,GraphicsScore,Screen Size,ScreenScore,TotalScore,NormalizedScore
HP Victus 15-fb1013dx Ryzen 5-7535HS Gaming Laptop,74000.0,0.0,AMD Ryzen 5-7535HS,9.1,16.0,8.0,512GB NVMe Gen4,9.0,AMD Radeon 660M Graphics 4GB + Dedicated NVIDIA RTX 2050 4GB,10,"15.6"" FHD 144Hz FHD, 45% NTSC Color gamut, anti-glare, 250nits Brightness display",9.8,6.08,63.74808930348272
Lenovo ThinkPad X1 Yoga Core i7 10th Gen with Pen,58500.0,1.8731949458483754,Intel Core i7-10610U 10th Generation,7.6,16.0,8.0,512GB Nvme M.2,9.0,Intel UHD Graphics,4,"14"" FHD IPS, Anti-glare, Touchscreen with Privacy Guard, 500nits, Dolby Vision, Display-HDR 400",9.0,6.07927797833935,63.73769934833551
"Asus VivoBook Classic A43E Core i5 2nd Gen 14"" Laptop",12000.0,9.855595667870036,Intel Core i5-2410M 2nd Generation Processor,1.4000000000000001,8.0,4.0,256 GB,7.0,Integrated Intel GMA HD,3,"14"" HD LED Display",9.0,6.062238267148015,63.492496406861285
HP Elitebook 840 G10 Core i7 13th Gen 512GB SSD,86000.0,0.0,Intel Core i7 13th Gen,9.7,16.0,8.0,512GB NVMe Express Drive,9.0,AMD Radeon 780M- 8GB,6,"14"" FHD",9.0,6.06,63.46028754590493
Acer Spin 5 Core i5 8th Gen 8GB DDR4 RAM Laptop,43999.0,6.545448555956678,Intel Core i5-8250U 8th Gen,5.6,8.0,4.0,256GB,7.0,Intel UHD Graphics-4GB,4,13.3 Inch full HD X360 Display,8.65,6.048179422382672,63.29018839521233
HP EliteBook 840 G8 Core i5 11th Gen 8GB RAM 256GB SSD,49000.0,4.934115523465704,Intel Core i5 11th Generation,7.699999999999999,8.0,4.0,256GB NVMe,7.0,Intel UHD Graphics,4,"14"" diagonal FHD display",9.0,6.033646209386282,63.08105418303165
Lenovo IdeaPad B490 Core i3 3rd Gen 500GB HDD,12500.0,9.819494584837544,3rd Generation Intel Core i3-3110M,1.5,8.0,4.0,500GB SATA HDD,5.90625,Intel HD Graphics 4000,3,14-Inch HD LED,9.0,6.023110333935017,62.92944200940692
Acer Nitro 5 AN515-46 Ryzen 7 6800H Gaming Laptop,115000.0,0.0,AMD Ryzen 7-6800H,8.737499999999999,16.0,8.0,1TB Solid State Drive,10.0,Built-In AMD Radeon Graphics -8GB with NVIDIA RTX 3060 - 6GB DDR6,10,"15.6"" LED-backlit TFT FHD 165Hz Refresh Rate",9.8,6.021249999999999,62.90267164059794
"Lenovo Legion 5 Pro Ryzen 7 6800H 16"" 165Hz Laptop",140000.0,0.0,AMD Ryzen 7 6800H Processor,8.737499999999999,16.0,8.0,1TB PCIe SSD Gen 4,10.0,"NVIDIA GeForce RTX 3070, 8 GB GDDR6",10,"16"" IPS, 2560 x 1600p resolution, 500nits Anti-glare, 100% sRGB, 165Hz, DisplayHDR 400, Dolby Vision, FreeSync, G-SYNC, Low Blue Light Diplsy",10.0,6.021249999999999,62.90267164059794
HP EliteBook x360 1040 G7 Core i7 10th Gen Touch Laptop,58999.0,1.7124160649819489,Intel Core i7-10810U 10th Generation,7.6,16.0,8.0,512 GB PCIe NVMe,9.0,Intel UHD Premium Graphics,4,"14.0 inch diagonal FHD IPS Ultraslim 2.0 mm eDP and PSR2 BrightView touchscreen with 0.4 mm Gorilla Glass 5 , 400 nits, 72% NTSC",9.0,6.01496642599278,62.81225045844053
